"V1" "V2" "V3" "V4" "V5" "V6" "extr" "extr" "extr" "extr"



"2013/11/30 12:09'27" 41608.50656 25 12 1003.7 "" "" "" ""
"2013/11/30 12:09'37" 41608.50668 25 13 1003.7 "" "" "" ""
"2013/11/30 12:09'47" 41608.50679 25 12 1003.7 "" "" "" ""
"2013/11/30 12:09'57" 41608.50691 25 13 1003.7 "" "" "" ""
"2013/11/30 12:10'07" 41608.50703 24.9 13 1003.7 "" "" "" ""
"2013/11/30 12:10'17" 41608.50714 24.9 12 1003.7 "" "" "" ""
"2013/11/30 12:10'27" 41608.50726 24.9 12 1003.7 "" "" "" ""
"2013/11/30 12:10'37" 41608.50737 24.9 12 1003.7 "" "" "" ""
"2013/11/30 12:10'47" 41608.50749 24.9 12 1003.7 "" "" "" ""
"2013/11/30 12:10'57" 41608.5076 24.9 13 1003.7 "" "" "" ""
"2013/11/30 12:11'07" 41608.50772 24.8 12 1003.6 "" "" "" ""
"2013/11/30 12:11'17" 41608.50784 24.8 13 1003.6 "" "" "" ""
"2013/11/30 12:11'27" 41608.50795 24.8 13 1003.6 "" "" "" ""
"2013/11/30 12:11'37" 41608.50807 24.8 13 1003.6 "" "" "" ""
"2013/11/30 12:11'47" 41608.50818 24.8 12 1003.6 "" "" "" ""
"2013/11/30 12:11'57" 41608.5083 24.8 12 1003.6 "" "" "" ""
"2013/11/30 12:12'07" 41608.50841 24.7 13 1003.6 "" "" "" ""
"2013/11/30 12:12'17" 41608.50853 24.7 12 1003.6 "" "" "" ""
"2013/11/30 12:12'27" 41608.50865 24.7 13 1003.6 "" "" "" ""
"2013/11/30 12:12'37" 41608.50876 24.7 13 1003.6 "" "" "" ""
"2013/11/30 12:12'47" 41608.50888 24.6 13 1003.6 "" "" "" ""
"2013/11/30 12:12'57" 41608.50899 24.6 13 1003.6 "" "" "" ""
"2013/11/30 12:13'07" 41608.50911 24.6 13 1003.6 "" "" "" ""
"2013/11/30 12:13'17" 41608.50922 24.6 13 1003.7 "" "" "" ""
"2013/11/30 12:13'27" 41608.50934 24.6 13 1003.7 "" "" "" ""
"2013/11/30 12:13'37" 41608.50946 24.6 13 1003.6 "" "" "" ""
"2013/11/30 12:13'47" 41608.50957 24.6 13 1003.6 "" "" "" ""
"2013/11/30 12:13'57" 41608.50969 24.6 13 1003.6 "" "" "" ""
"2013/11/30 12:14'07" 41608.5098 24.5 13 1003.6 "" "" "" ""
"2013/11/30 12:14'17" 41608.50992 24.5 13 1003.6 "" "" "" ""
"2013/11/30 12:14'27" 41608.51003 24.5 13 1003.6 "" "" "" ""
"2013/11/30 12:14'37" 41608.51015 24.5 13 1003.6 "" "" "" ""
"2013/11/30 12:14'47" 41608.51027 24.5 13 1003.6 "" "" "" ""
"2013/11/30 12:14'57" 41608.51038 24.5 13 1003.5 "" "" "" ""
"2013/11/30 12:15'07" 41608.5105 24.5 13 1003.6 "" "" "" ""
"2013/11/30 12:15'17" 41608.51061 24.5 13 1003.6 "" "" "" ""
"2013/11/30 12:15'27" 41608.51073 24.5 13 1003.6 "" "" "" ""
"2013/11/30 12:15'37" 41608.51084 24.5 13 1003.6 "" "" "" ""
