"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"ßC"	"%RH"	"hPa"	""	""	""	""	""
"2014/07/16 11:00'35"	"41836.4587384259"	"  22.4000"	"  58.0000"	"  998.0000"	""	""	""	""	""	
"2014/07/16 11:00'55"	"41836.4589699074"	"  22.5000"	"  58.0000"	"  998.0000"	""	""	""	""	""	
"2014/07/16 11:01'15"	"41836.4592013889"	"  22.6000"	"  58.0000"	"  998.0000"	""	""	""	""	""	
"2014/07/16 11:01'35"	"41836.4594328704"	"  22.6000"	"  58.0000"	"  997.9000"	""	""	""	""	""	
"2014/07/16 11:01'55"	"41836.4596643519"	"  22.6000"	"  57.0000"	"  997.9000"	""	""	""	""	""	
"2014/07/16 11:02'15"	"41836.4598958333"	"  22.6000"	"  57.0000"	"  998.0000"	""	""	""	""	""	
"2014/07/16 11:02'35"	"41836.4601273148"	"  22.6000"	"  57.0000"	"  997.9000"	""	""	""	""	""	
"2014/07/16 11:02'55"	"41836.4603587963"	"  22.6000"	"  57.0000"	"  997.9000"	""	""	""	""	""	
"2014/07/16 11:03'15"	"41836.4605902778"	"  22.6000"	"  57.0000"	"  997.9000"	""	""	""	""	""	
"2014/07/16 11:03'35"	"41836.4608217593"	"  22.6000"	"  57.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:03'55"	"41836.4610532407"	"  22.6000"	"  57.0000"	"  997.9000"	""	""	""	""	""	
"2014/07/16 11:04'15"	"41836.4612847222"	"  22.6000"	"  57.0000"	"  997.9000"	""	""	""	""	""	
"2014/07/16 11:04'35"	"41836.4615162037"	"  22.6000"	"  56.0000"	"  997.9000"	""	""	""	""	""	
"2014/07/16 11:04'55"	"41836.4617476852"	"  22.6000"	"  56.0000"	"  997.9000"	""	""	""	""	""	
"2014/07/16 11:05'15"	"41836.4619791667"	"  22.6000"	"  56.0000"	"  997.9000"	""	""	""	""	""	
"2014/07/16 11:05'35"	"41836.4622106481"	"  22.5000"	"  56.0000"	"  997.9000"	""	""	""	""	""	
"2014/07/16 11:05'55"	"41836.4624421296"	"  22.5000"	"  56.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:06'15"	"41836.4626736111"	"  22.5000"	"  56.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:06'35"	"41836.4629050926"	"  22.4000"	"  56.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:06'55"	"41836.4631365741"	"  22.4000"	"  56.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:07'15"	"41836.4633680556"	"  22.4000"	"  56.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:07'35"	"41836.4635995370"	"  22.4000"	"  56.0000"	"  997.7000"	""	""	""	""	""	
"2014/07/16 11:07'55"	"41836.4638310185"	"  22.4000"	"  56.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:08'15"	"41836.4640625000"	"  22.4000"	"  56.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:08'35"	"41836.4642939815"	"  22.3000"	"  56.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:08'55"	"41836.4645254630"	"  22.3000"	"  56.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:09'15"	"41836.4647569444"	"  22.3000"	"  56.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:09'35"	"41836.4649884259"	"  22.3000"	"  56.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:09'55"	"41836.4652199074"	"  22.2000"	"  56.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:10'15"	"41836.4654513889"	"  22.2000"	"  56.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:10'35"	"41836.4656828704"	"  22.2000"	"  56.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:10'55"	"41836.4659143519"	"  22.2000"	"  56.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:11'15"	"41836.4661458333"	"  22.2000"	"  56.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:11'35"	"41836.4663773148"	"  22.2000"	"  56.0000"	"  997.8000"	""	""	""	""	""	
"2014/07/16 11:11'55"	"41836.4666087963"	"  22.2000"	"  56.0000"	"  997.8000"	""	""	""	""	""	
